dataset,snippet,metric,metric_value,#_of_warnings,tool,dataset_id,metric_type,expected_cor
1,1,correct_output_rating,1.2195121951219512,1,no_checker_framework,1,correctness,negative
1,1,output_difficulty,3.1707317073170733,1,no_checker_framework,1,rating,negative
1,1,time_to_give_output,68.01441463414633,1,no_checker_framework,1,time,positive
1,2,correct_output_rating,1.951219512195122,1,no_checker_framework,1,correctness,negative
1,2,output_difficulty,2.975609756097561,1,no_checker_framework,1,rating,negative
1,2,time_to_give_output,100.26741463414632,1,no_checker_framework,1,time,positive
1,3,correct_output_rating,1.4878048780487805,1,no_checker_framework,1,correctness,negative
1,3,output_difficulty,2.3902439024390243,1,no_checker_framework,1,rating,negative
1,3,time_to_give_output,132.46873170731706,1,no_checker_framework,1,time,positive
1,4,correct_output_rating,1.4878048780487805,3,no_checker_framework,1,correctness,negative
1,4,output_difficulty,2.414634146341464,3,no_checker_framework,1,rating,negative
1,4,time_to_give_output,154.64156097560976,3,no_checker_framework,1,time,positive
1,5,correct_output_rating,1.4390243902439024,4,no_checker_framework,1,correctness,negative
1,5,output_difficulty,1.975609756097561,4,no_checker_framework,1,rating,negative
1,5,time_to_give_output,211.48453658536584,4,no_checker_framework,1,time,positive
1,6,correct_output_rating,1.7804878048780488,2,no_checker_framework,1,correctness,negative
1,6,output_difficulty,3.1219512195121952,2,no_checker_framework,1,rating,negative
1,6,time_to_give_output,70.5109512195122,2,no_checker_framework,1,time,positive
1,7,correct_output_rating,1.804878048780488,1,no_checker_framework,1,correctness,negative
1,7,output_difficulty,3.2195121951219514,1,no_checker_framework,1,rating,negative
1,7,time_to_give_output,66.04860975609758,1,no_checker_framework,1,time,positive
1,8,correct_output_rating,1.4634146341463414,2,no_checker_framework,1,correctness,negative
1,8,output_difficulty,2.3902439024390243,2,no_checker_framework,1,rating,negative
1,8,time_to_give_output,104.82602439024387,2,no_checker_framework,1,time,positive
1,9,correct_output_rating,1.853658536585366,1,no_checker_framework,1,correctness,negative
1,9,output_difficulty,3.1707317073170733,1,no_checker_framework,1,rating,negative
1,9,time_to_give_output,65.42085365853657,1,no_checker_framework,1,time,positive
1,10,correct_output_rating,1.8780487804878048,0,no_checker_framework,1,correctness,negative
1,10,output_difficulty,3.634146341463415,0,no_checker_framework,1,rating,negative
1,10,time_to_give_output,42.58580487804878,0,no_checker_framework,1,time,positive
1,11,correct_output_rating,1.6341463414634143,1,no_checker_framework,1,correctness,negative
1,11,output_difficulty,3.097560975609756,1,no_checker_framework,1,rating,negative
1,11,time_to_give_output,65.47378048780489,1,no_checker_framework,1,time,positive
1,12,correct_output_rating,1.853658536585366,0,no_checker_framework,1,correctness,negative
1,12,output_difficulty,3.341463414634146,0,no_checker_framework,1,rating,negative
1,12,time_to_give_output,59.81002439024391,0,no_checker_framework,1,time,positive
1,13,correct_output_rating,2.0,0,no_checker_framework,1,correctness,negative
1,13,output_difficulty,3.731707317073171,0,no_checker_framework,1,rating,negative
